Angles of attack,[0.0, 10.0, 1.0]
Reynolds numbers,[15000.0, 30000.0, 45000.0, 60000.0]
ncrits,[2.5, 3.0]

aoa_ld,[3.0, 4.0, 5.0]
inv_min_drag_scaling,0.25

dat file,thickness,max_thickness_x,avg_max_lift,avg_max_lift_angle,avg_max_lift_to_drag,avg_max_lift_to_drag_angle,avg_min_drag,avg_min_drag_angle,avg l/d at aoa_ld angles,(1/avg_min_drag) / divider,global score,status
naca16006.dat,0.06,0.5,0.624323367809,8.505,12.1846780416,4.62375,0.0200691418103,1.2375,9.92314229877,12.4569352473,22.3800775461,ok
e169.dat,0.14404,0.26456,0.819454985554,9.0,20.4260508581,7.75125,0.0297904397585,0.495,13.509520819,8.39195399688,21.9014748158,ok
ea61009.dat,0.09,0.3,0.6217157776,8.2575,13.7991059033,5.5125,0.0270369244107,1.2375,12.6071495375,9.24661386046,21.853763398,ok
goe409.dat,0.127,0.4,0.66936398714,9.0,16.3595136037,5.90625,0.030972485505,1.8675,13.7795348277,8.07168026471,21.8512150924,ok
goe444.dat,0.056,0.4,0.605095384984,8.01,11.8627853055,4.26375,0.0223688873146,0.86625,10.6183525915,11.1762376234,21.794590215,ok
ls013.dat,0.12864,0.40004,0.739678945796,9.0,17.0631561286,5.88375,0.0310694097988,3.11625,13.4661034875,8.04649980863,21.5126032962,ok
s1012.dat,0.12022,0.37324,0.722001960424,9.0,17.2297601954,6.7725,0.0308469660582,2.7225,13.3698856271,8.10452475385,21.4744103809,ok
fxl142k.dat,0.142,0.30861,0.723270788565,9.0,18.7276095454,7.14375,0.0302562895274,0.50625,13.1490790152,8.26274483438,21.4118238496,ok
n64012.dat,0.11962,0.4,0.636303054725,9.0,15.7609918842,6.13125,0.0297758706826,0.8775,12.9901147288,8.39606010736,21.3861748362,ok
e478.dat,0.15696,0.25879,0.741929792951,8.87625,18.2546153687,7.1325,0.0312158311197,0.495,13.3561551571,8.00875680809,21.3649119652,ok
