Angles of attack,(0.0, 10.0, 1.0)
Reynolds numbers,[15000.0, 30000.0, 45000.0, 60000.0]
ncrits,[2.5, 3.0]

aoa_ld,[3.0, 4.0, 5.0]
inv_min_drag_scaling,0.25

dat file,thickness,max_thickness_x,avg_max_lift,avg_max_lift_angle,avg_max_lift_to_drag,avg_max_lift_to_drag_angle,avg_min_drag,avg_min_drag_angle,avg l/d at aoa_ld angles,(1/avg_min_drag) / divider,global score,status
naca0007.dat,0.07,0.308658,0.719274538779,8.0775,19.0867345233,4.275,0.0185539650349,0.14625,18.05316256,13.4742088567,31.5273714167,ok
naca0006.dat,0.06002,0.3,0.662276668813,8.01,17.9362294891,3.87,0.0178403814303,0.34875,16.5820531183,14.0131533048,30.5952064232,ok
naca0008.dat,0.08002,0.3,0.73277334884,8.39875,18.7547619561,4.3225,0.0193560528177,0.36875,17.4591719624,12.915856469,30.3750284315,ok
naca0010.dat,0.10004,0.3,0.75461739856,8.44375,19.8255654108,5.04625,0.0212074288649,0.42,18.2408262723,11.7883219882,30.0291482605,ok
naca0005.dat,0.05,0.308658,0.681817738351,8.865,16.3832274795,3.5775,0.0173083785575,0.6975,15.3040607204,14.4438717451,29.7479324655,ok
naca0005_closed_te.dat,0.04999,0.308658,0.667599792178,8.5825,16.2204232663,3.6825,0.0172919752051,0.8775,15.1964473381,14.4575733561,29.6540206942,ok
n64012a.dat,0.11986,0.4,0.7429625,9.0,19.9343936764,4.9275,0.0247780796237,0.05625,16.8201123649,10.0895631864,26.9096755512,ok
naca001034.dat,0.1,0.4,0.648938894254,7.57,17.9915291786,4.4,0.0232489425958,1.59,15.7010247026,10.7531772239,26.4542019265,ok
naca001064.dat,0.1,0.4,0.729421555246,8.445,17.6712241804,4.8275,0.0233627253076,0.58125,15.4673627417,10.7008063789,26.1681691206,ok
naca0015.dat,0.15004,0.3,0.758988043517,8.9325,20.5229104528,6.06375,0.0273551197532,0.2925,17.0172926002,9.13905704875,26.1563496489,ok
naca000834.dat,0.08,0.4,0.615486641472,7.4,14.8673983678,4.08625,0.0205610215585,0.345,13.3879623488,12.1589289369,25.5468912857,ok
naca001234.dat,0.12,0.4,0.677560230838,8.1725,18.9700028083,5.01375,0.0264157701595,1.90875,15.9787436393,9.46404358044,25.4427872197,ok
naca001264.dat,0.12,0.4,0.746241900051,8.6825,18.1718795295,5.2475,0.0264095557957,2.42,15.7835520303,9.46627053987,25.2498225702,ok
naca16009.dat,0.09,0.5,0.68915034443,7.38,17.5391965768,4.33125,0.0245771553783,0.4725,14.811220842,10.1720478286,24.9832686706,ok
naca16006.dat,0.06,0.5,0.604038808958,7.77,13.1364119487,4.21,0.0198063572527,0.1,11.6082141088,12.6222099708,24.2304240796,ok
